Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),2/21,3.763275427209216e-05,0.0008453591827658329,0,0,300.3308270676692,3059.661074421551,DEFA4;DEFA1
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),2/28,6.762873462126663e-05,0.0008453591827658329,0,0,219.3956043956044,2106.5219804560147,DEFA4;DEFA1
GO_Biological_Process_2023,Antibacterial Humoral Response (GO:0019731),2/49,0.00020937355557931883,0.0017447796298276,0,0,121.24012158054713,1027.0724207395506,DEFA4;DEFA1
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),2/65,0.0003689413127509055,0.0023058832046931,0,0,90.37641723356008,714.4140977699672,DEFA4;DEFA1
GO_Biological_Process_2023,Defense Response To Gram-negative Bacterium (GO:0050829),2/75,0.000491070345932343,0.0024553517296617,0,0,77.95694716242662,593.9479909744274,DEFA4;DEFA1
GO_Biological_Process_2023,Defense Response To Gram-positive Bacterium (GO:0050830),2/85,0.000630282836882989,0.0026261784870124,0,0,68.53012048192771,505.02188772388456,DEFA4;DEFA1
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),2/100,0.000870867194754317,0.0031102399812654,0,0,57.99708454810496,408.6486795613659,DEFA4;DEFA1
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),2/117,0.0011891506969135,0.0037060175282115,0,0,49.38136645962733,332.5595989063731,DEFA4;DEFA1
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),2/124,0.0013341663101561,0.0037060175282115,0,0,46.531615925058546,308.01364310049706,DEFA4;DEFA1
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),2/159,0.0021796519790663,0.0054491299476657,0,0,36.09463148316651,221.20919963886445,DEFA4;DEFA1
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),2/204,0.003555434589427,0.0080805331577887,0,0,27.99009900990099,157.84394888758456,DEFA4;DEFA1
GO_Biological_Process_2023,Cellular Response To Lipid (GO:0071396),2/228,0.0044186639570074,0.0086381617452131,0,0,24.987357774968395,135.4794024127013,DEFA4;DEFA1
GO_Biological_Process_2023,T Cell Chemotaxis (GO:0010818),1/10,0.0044918441075108,0.0086381617452131,0,0,277.52777777777777,1500.1741678966396,DEFA1
GO_Biological_Process_2023,Killing By Host Of Symbiont Cells (GO:0051873),1/13,0.005835902950749,0.0104212552691947,0,0,208.11458333333337,1070.4844511001115,DEFA1
GO_Biological_Process_2023,Defense Response To Protozoan (GO:0042832),1/15,0.0067310464938694,0.0112139323020978,0,0,178.36607142857142,892.013120036697,DEFA1
GO_Biological_Process_2023,Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),1/17,0.0076254739654265,0.0112139323020978,0,0,156.0546875,760.9633551596094,DEFA1
GO_Biological_Process_2023,T Cell Migration (GO:0072678),1/17,0.0076254739654265,0.0112139323020978,0,0,156.0546875,760.9633551596094,DEFA1
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),1/29,0.0129770265246845,0.0177179886537944,0,0,89.12053571428571,387.1908225092229,DEFA4
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),2/406,0.0134656713768837,0.0177179886537944,0,0,13.852192362093351,59.669865793630336,DEFA4;DEFA1
GO_Biological_Process_2023,Endothelial Cell Migration (GO:0043542),1/40,0.0178600710727219,0.0222983591389063,0,0,63.94871794871795,257.40559445949555,S100P
GO_Biological_Process_2023,Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),1/43,0.01918807882344,0.0222983591389063,0,0,59.37202380952381,234.7252826710072,DEFA1
GO_Biological_Process_2023,Lymphocyte Chemotaxis (GO:0048247),1/44,0.0196303932897657,0.0222983591389063,0,0,57.98837209302326,227.93351613623008,DEFA1
GO_Biological_Process_2023,Epithelial Cell Migration (GO:0010631),1/46,0.0205144904077938,0.0222983591389063,0,0,55.40555555555556,215.34055050751047,S100P
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),3/316,0.00030581261327210685,0.0061162522654421,0,0,31.43450479233227,254.3849251252275,DEFA4;S100P;DEFA1
GO_Cellular_Component_2023,Golgi Lumen (GO:0005796),2/100,0.000870867194754317,0.0087086719475431,0,0,57.99708454810496,408.6486795613659,DEFA4;DEFA1
GO_Cellular_Component_2023,Azurophil Granule (GO:0042582),2/155,0.0020729611988468,0.0138197413256455,0,0,37.04575163398693,228.8974441857843,DEFA4;DEFA1
GO_Cellular_Component_2023,Primary Lysosome (GO:0005766),1/10,0.0044918441075108,0.0224592205375541,0,0,277.52777777777777,1500.1741678966396,DEFA4
